,Conversation,Sentiment,cleaned,Length
0,আমি বুথ থেকে কল দেয়ার জন্য দুঃখিত,negative,বুথ কল দেয়ার দুঃখিত,4
1,আমি তোমার সম্পর্কে দুঃখিত,negative,সম্পর্কে দুঃখিত,2
2,আমার ভয় হচ্ছিল আমি খুব ভয় পেয়েছিলাম,negative,ভয় হচ্ছিল ভয় পেয়েছিলাম,4
3,অবশ্যই ধন্যবাদ ,positive,অবশ্যই ধন্যবাদ,2
4,কী সুন্দর!! আমি খুব খুশি,positive,সুন্দর খুশি,2
5,আমিও তার জানাজায় ছিলাম,negative,আমিও জানাজায় ছিলাম,3
6,"আমি দুঃখিত, ভুলে যাচ্ছি আমি তোমাকে বলেছি",negative,দুঃখিত ভুলে যাচ্ছি বলেছি,4
7,আমার সমস্যা হচ্ছে আমি দুঃখিত,negative,সমস্যা দুঃখিত,2
8,দুঃখের সময় সামনে,negative,দুঃখের সময়,2
9,আমি তোমাকে ভালবাসি,positive,ভালবাসি,1
10,"দুর্দান্ত তুমি কি তাতে খুশি?  হ্যাঁ, আমি শিহরিত খুঁজে পেয়েছি!",positive,দুর্দান্ত খুশি হ্যাঁ শিহরিত খুঁজে পেয়েছি,6
11,আমি দুঃখিত কখনও কখনও এটি ঘটে,negative,দুঃখিত ঘটে,2
12,আমি দুঃখিত,negative,দুঃখিত,1
13,তোমাকে স্বাগতম ,positive,স্বাগতম,1
14,আমরা ব্রেক আপ করেছি,negative,ব্রেক আপ করেছি,3
15,"আমার শরীর নিয়ন্ত্রণ হারাতে শুরু করে
",negative,শরীর নিয়ন্ত্রণ হারাতে,3
16,আমার অবস্থা বর্ণনা করা কঠিন ছিল,negative,অবস্থা বর্ণনা কঠিন,3
17,আমিও সামলাতে পারিনি,negative,আমিও সামলাতে পারিনি,3
18,আমার ভবিষ্যতটি বিবর্ণ দেখাচ্ছে,negative,ভবিষ্যতটি বিবর্ণ দেখাচ্ছে,3
19,এমনভাবে দেখানোর জন্য দুঃখিত,negative,এমনভাবে দেখানোর দুঃখিত,3
20,আমার অনেক পরিকল্পনা আছে ,positive,পরিকল্পনা,1
21,আমরা দুজনেই বিবাহিত হতে পারি,positive,দুজনেই বিবাহিত,2
22,আমি আশা করি তুমি খুশি হবেন,positive,আশা খুশি,2
23,আমি যা করেছি তা ভয়ানক ছিল,negative,করেছি ভয়ানক,2
24,আমি থাকতে পারছিলাম না,negative,থাকতে পারছিলাম,2
25,সে আমার সম্পর্কে ভুলে যেতে চায়,negative,সম্পর্কে ভুলে,2
26,তোমার দৃঢ় প্রত্যয় আমাকে অভিভূত করেছিল,positive,দৃঢ় প্রত্যয় অভিভূত করেছিল,4
27,শেষ পর্যন্ত আমাদের বিয়ে হয়ে গেল,positive,শেষ বিয়ে,2
28,আমি খুব শান্তি পাচ্ছি,positive,শান্তি পাচ্ছি,2
29,শুভ সকাল,positive,শুভ সকাল,2
30,এখানে ফুল দিয়ে পূর্ণ হলে এই বাগানটি খুব সুন্দর হবে,positive,ফুল পূর্ণ বাগানটি সুন্দর,4
31,তুমি খুব কষ্ট করতেছো,negative,কষ্ট করতেছো,2
